bed,bath,acre_lot,zip_code,house_size,price,city
3.0,1.0,4.89,612.0,1028.0,100000.0,61
3.0,2.0,1.48,612.0,1100.0,89000.0,61
4.0,3.0,0.25,612.0,1600.0,168000.0,61
3.0,2.0,0.29,612.0,1604.0,150000.0,61
3.0,2.0,0.26,612.0,1100.0,60000.0,61
8.0,2.0,0.13,612.0,1500.0,140000.0,61
2.0,1.0,0.1,612.0,680.0,70000.0,61
3.0,1.0,0.06,612.0,750.0,80000.0,61
5.0,2.0,0.13,612.0,1500.0,135000.0,61
3.0,3.0,0.24,612.0,2183.0,215000.0,61
3.0,2.0,0.17,612.0,1100.0,42900.0,309
3.0,2.0,0.25,612.0,1100.0,49900.0,61
3.0,2.0,0.25,612.0,1000.0,138000.0,61
5.0,4.0,0.2,612.0,2832.0,289000.0,61
3.0,2.0,0.25,612.0,1000.0,132000.0,61
4.0,4.0,0.14,612.0,1500.0,197000.0,61
3.0,2.0,0.71,612.0,1100.0,1200000.0,61
5.0,3.0,0.07,674.0,1700.0,185000.0,1188
6.0,4.0,0.37,659.0,3400.0,200000.0,892
3.0,2.0,0.25,687.0,2500.0,210000.0,1332
3.0,1.0,0.08,674.0,921.0,105000.0,1188
3.0,1.0,0.07,674.0,800.0,113600.0,1188
3.0,2.0,0.08,617.0,1195.0,174900.0,106
4.0,6.0,1.38,678.0,3000.0,3000000.0,1692
3.0,2.0,0.07,693.0,895.0,134000.0,2146
4.0,2.0,0.25,693.0,2038.0,245000.0,2146
4.0,2.0,0.09,727.0,1100.0,161000.0,299
3.0,2.0,0.12,693.0,1217.0,225000.0,2146
4.0,2.0,0.22,674.0,2236.0,290000.0,1188
4.0,3.0,0.21,617.0,2961.0,375000.0,106
3.0,2.0,0.21,627.0,2400.0,425000.0,309
5.0,3.0,0.56,678.0,3000.0,1100000.0,1692
5.0,3.0,0.22,659.0,3650.0,418000.0,892
5.0,3.0,1.46,687.0,2366.0,365000.0,1332
4.0,2.0,0.2,659.0,1641.0,55000.0,892
4.0,2.0,0.21,659.0,1641.0,62000.0,892
4.0,2.0,10.68,659.0,1641.0,350000.0,892
5.0,2.0,0.16,95000.0,1757.0,95000.0,1692
3.0,1.0,0.29,627.0,1400.0,64900.0,309
3.0,2.0,0.27,617.0,1150.0,49900.0,106
2.0,2.0,0.09,617.0,955.0,90000.0,106
3.0,2.0,0.08,617.0,1015.0,111000.0,106
3.0,2.0,0.09,617.0,1105.0,114400.0,106
3.0,2.0,0.14,617.0,955.0,113500.0,106
2.0,1.0,0.08,646.0,700.0,59200.0,528
3.0,1.0,0.07,949.0,950.0,63800.0,2086
3.0,2.0,0.09,953.0,1000.0,45000.0,2085
2.0,2.0,0.11,646.0,800.0,55000.0,528
5.0,3.0,0.61,692.0,1400.0,100000.0,2145
4.0,2.0,0.19,783.0,1500.0,80000.0,452
2.0,2.0,1.22,719.0,1500.0,55000.0,1369
4.0,2.0,0.08,953.0,1650.0,157500.0,2085
3.0,3.0,0.19,646.0,3500.0,2000000.0,528
4.0,5.0,1.98,646.0,7000.0,11500000.0,528
4.0,4.0,0.24,646.0,2500.0,3500000.0,528
3.0,3.0,0.3,953.0,2400.0,270000.0,2085
3.0,4.0,0.99,646.0,3500.0,5000000.0,528
3.0,2.0,0.15,953.0,1000.0,25000.0,2085
6.0,4.0,0.2,719.0,1880.0,172000.0,1369
6.0,4.0,0.1,953.0,2600.0,65000.0,2085
4.0,3.0,0.19,646.0,2500.0,1325000.0,528
3.0,2.0,0.15,692.0,2096.0,625000.0,2145
3.0,2.0,0.27,646.0,2200.0,465000.0,528
3.0,3.0,0.52,646.0,1500.0,575000.0,528
4.0,3.0,0.14,646.0,3500.0,1100000.0,528
3.0,2.0,0.1,646.0,1800.0,550000.0,528
4.0,3.0,0.12,646.0,2490.0,895000.0,528
3.0,2.0,0.21,646.0,1564.0,495000.0,2145
3.0,2.0,0.07,692.0,2100.0,635000.0,2145
2.0,2.0,0.21,646.0,1172.0,1125000.0,528
1.0,2.0,0.235,622.0,900.0,97000.0,297
3.0,1.0,0.08,622.0,900.0,134000.0,297
4.0,2.0,0.25,622.0,2800.0,365000.0,297
3.0,2.0,0.2,622.0,2214.0,260000.0,297
3.0,2.0,0.19,622.0,2214.0,75000.0,213
4.0,2.0,0.22,622.0,3328.0,460000.0,297
3.0,2.0,0.99,622.0,2214.0,250000.0,297
3.0,2.0,10.29,622.0,2214.0,1321000.0,297
4.0,2.0,0.48,660.0,1233.0,63000.0,956
3.0,2.0,0.12,680.0,1200.0,75000.0,1230
5.0,5.0,0.19,623.0,4000.0,325000.0,297
4.0,2.0,10.76,698.0,1800.0,499900.0,2384
3.0,2.0,0.07,623.0,1000.0,101800.0,297
1.0,1.0,0.12,623.0,491.0,25000.0,297
3.0,3.0,0.27,653.0,976.0,205000.0,834
4.0,2.0,0.12,660.0,1163.0,135000.0,956
3.0,2.0,0.08,682.0,1175.0,104000.0,1230
3.0,2.0,0.97,667.0,1200.0,275000.0,1057
3.0,2.0,1.4,623.0,1205.0,182000.0,297
3.0,2.0,6.44,623.0,1205.0,1400000.0,297
3.0,2.0,5.78,683.0,1300.0,155000.0,1818
3.0,2.0,0.12,623.0,1044.0,100000.0,297
3.0,1.0,0.03,623.0,980.0,75000.0,297
4.0,2.0,0.19,623.0,1400.0,122000.0,297
3.0,1.0,0.16,623.0,936.0,150000.0,297
3.0,4.0,0.23,623.0,3089.0,325000.0,297
3.0,4.0,0.09,623.0,2064.0,130000.0,297
2.0,2.0,0.46,623.0,1242.0,139900.0,297
8.0,5.0,0.48,623.0,8368.0,395000.0,297
5.0,4.0,0.22,623.0,2700.0,375000.0,297
6.0,8.0,9.65,623.0,10244.0,2500000.0,297
3.0,3.0,0.26,623.0,2069.0,385000.0,297
8.0,7.0,0.43,623.0,3192.0,600000.0,297
2.0,2.0,0.52,623.0,1377.0,195000.0,297
5.0,6.0,5.0,623.0,10000.0,1995000.0,297
1.0,1.0,0.52,623.0,736.0,220000.0,297
3.0,2.0,0.4,623.0,1205.0,81500.0,297
6.0,6.0,7.8,623.0,8000.0,3000000.0,297
3.0,2.0,0.73,623.0,1205.0,54000.0,297
3.0,2.0,3.57,623.0,1205.0,275000.0,297
3.0,2.0,112.66,623.0,1205.0,950000.0,297
3.0,2.0,0.52,623.0,1205.0,375000.0,297
3.0,2.0,0.96,623.0,1205.0,840000.0,297
3.0,2.0,0.51,623.0,1205.0,375000.0,297
3.0,1.0,0.04,624.0,913.0,70000.0,1594
5.0,3.0,0.49,624.0,2500.0,799000.0,1594
3.0,1.0,0.08,624.0,917.0,74500.0,1594
3.0,2.0,0.09,685.0,1120.0,70000.0,1821
3.0,2.0,0.08,728.0,1500.0,85000.0,1650
3.0,3.0,0.23,641.0,1326.0,69900.0,2135
3.0,2.0,0.97,659.0,2111.0,330000.0,892
3.0,2.0,0.05,716.0,1296.0,145000.0,1650
3.0,2.0,0.08,987.0,1248.0,135000.0,327
3.0,2.0,0.99,641.0,1251.0,40000.0,2135
3.0,2.0,1.42,641.0,1251.0,329000.0,2135
3.0,1.0,0.04,627.0,1460.0,69500.0,309
4.0,3.0,0.24,627.0,1500.0,135000.0,309
3.0,1.0,0.38,627.0,900.0,74000.0,309
3.0,1.0,1.94,627.0,1400.0,109000.0,309
3.0,3.0,0.13,627.0,1300.0,168100.0,309
3.0,1.0,0.1,627.0,800.0,110000.0,309
3.0,1.0,7.8,627.0,1400.0,250000.0,309
3.0,1.0,0.27,627.0,1400.0,55000.0,309
3.0,1.0,0.25,627.0,1400.0,50000.0,309
3.0,1.0,9.43,627.0,1400.0,305000.0,309
3.0,1.0,2.52,627.0,1400.0,145000.0,309
3.0,1.0,0.55,627.0,1400.0,90000.0,309
3.0,1.0,0.47,627.0,1400.0,105000.0,309
3.0,1.0,0.67,627.0,1400.0,85000.0,309
3.0,2.0,0.1,637.0,1290.0,130000.0,1795
8.0,4.0,0.45,637.0,2852.0,300000.0,1795
5.0,2.0,1.21,637.0,1898.0,54900.0,1795
2.0,1.0,0.2,637.0,1275.0,250000.0,1795
3.0,3.0,0.36,637.0,20132.0,435000.0,1795
3.0,2.0,0.15,637.0,1290.0,80000.0,1795
3.0,2.0,262.0,637.0,1290.0,575000.0,1795
3.0,2.0,1.17,638.0,1000.0,89000.0,392
3.0,2.0,1.48,638.0,1820.0,275000.0,392
3.0,2.0,0.1,638.0,1100.0,65000.0,392
4.0,3.0,2.23,638.0,3344.0,225000.0,392
3.0,1.0,1.16,638.0,1100.0,98000.0,392
3.0,2.0,0.09,638.0,1092.0,55000.0,392
3.0,2.0,0.09,638.0,1100.0,65000.0,392
3.0,2.0,0.2,638.0,1092.0,23000.0,392
3.0,2.0,1.94,638.0,1092.0,65000.0,392
3.0,2.0,50.26,638.0,1092.0,290000.0,392
3.0,2.0,0.68,638.0,1092.0,47000.0,392
3.0,2.0,0.97,641.0,1205.0,106700.0,2135
